GroupID,Hash,SizeBytes,FileCount,WastedBytes,FilePath
1,7adbe0de526b5ace3ac631bc08333a46ac545de9491dc00c756ac5bb8750f483,34898,2,34898,"a2a-server\packages\gray-room\src\core\request-processor\gray-room-orchestrator.ts"
1,7adbe0de526b5ace3ac631bc08333a46ac545de9491dc00c756ac5bb8750f483,34898,2,0,"a2a-server\packages\features\src\gray-room\core\request-processor\gray-room-orchestrator.ts"
2,f10d805dbdff0bfc097307d29ef188a7f3332a920c763851c2ed283a48aa2d68,34855,2,34855,"a2a-server\packages\gray-room\src\core\orchestrator\gray-room-orchestrator.ts"
2,f10d805dbdff0bfc097307d29ef188a7f3332a920c763851c2ed283a48aa2d68,34855,2,0,"a2a-server\packages\features\src\gray-room\core\orchestrator\gray-room-orchestrator.ts"
3,9f8ab5cd6d4a8cf4385a703c1aacf5f728ecafe77904b54885b01cf84027bff2,16186,2,16186,"a2a-server\packages\request\src\request.service.ts"
3,9f8ab5cd6d4a8cf4385a703c1aacf5f728ecafe77904b54885b01cf84027bff2,16186,2,0,"a2a-server\packages\server\src\request\request.service.ts"
4,12d96f26383ef9ce9653a1de44a0c119a919b4a43ce3a7fe25d572c879bc7ddc,12390,2,12390,"a2a-server\packages\features\src\actions\action-parser.ts"
4,12d96f26383ef9ce9653a1de44a0c119a919b4a43ce3a7fe25d572c879bc7ddc,12390,2,0,"a2a-server\packages\features\src\actions\src\actions\action-parser.ts"
5,2bd4d50545a652ae428bcdfb55a04772a7f73d38f776ccf5dd4fcd0a41c090a0,11784,2,11784,"a2a-server\packages\features\src\actions\action-service.ts"
5,2bd4d50545a652ae428bcdfb55a04772a7f73d38f776ccf5dd4fcd0a41c090a0,11784,2,0,"a2a-server\packages\features\src\actions\src\actions\action-service.ts"
6,df46243e8453303716b3acf6b8536b52a42fe30617f96c01fc0eb36b1033d0cc,10265,2,10265,"a2a-server\packages\features\src\actions\action-processor.ts"
6,df46243e8453303716b3acf6b8536b52a42fe30617f96c01fc0eb36b1033d0cc,10265,2,0,"a2a-server\packages\features\src\actions\src\actions\action-processor.ts"
7,02dee9f3c2f59d9f78e92c05f518e8b0779bb91f0ac2af3bf0a6fd1e54ca7df1,9216,2,9216,"a2a-server\packages\features\src\actions\handlers\command-execution.ts"
7,02dee9f3c2f59d9f78e92c05f518e8b0779bb91f0ac2af3bf0a6fd1e54ca7df1,9216,2,0,"a2a-server\packages\features\src\actions\src\actions\handlers\command-execution.ts"
8,ce8269b07e3826ed51adaaf93b288896d2df8aa417e3d74a1fb43f76cab85cdf,8716,2,8716,"a2a-server\packages\server-utils\src\event-bus.ts"
8,ce8269b07e3826ed51adaaf93b288896d2df8aa417e3d74a1fb43f76cab85cdf,8716,2,0,"a2a-server\packages\server\src\event-bus.ts"
9,1e1b5d409dc90ee0d34bbcfe999e5dcf3db4ee2d9f5b0d605509251950d657e3,8305,3,16610,"a2a-server\packages\actions\src\handlers\run-script.ts"
9,1e1b5d409dc90ee0d34bbcfe999e5dcf3db4ee2d9f5b0d605509251950d657e3,8305,3,0,"a2a-server\packages\features\src\actions\handlers\run-script.ts"
9,1e1b5d409dc90ee0d34bbcfe999e5dcf3db4ee2d9f5b0d605509251950d657e3,8305,3,0,"a2a-server\packages\features\src\actions\src\actions\handlers\run-script.ts"
